药品名称,UID,品牌,NameEnglish,BrandEnglish,生产商,生产商地址,生产商网址,生产商电话,批准文号,执行标准
红贴,m000001,楚院士,Hong Tie,,河南苗弘堂生物科技有限公司,河南省周口市淮阳区腾飞路与106国道交叉口南300米路东,,4000051608,,Q/HMHT 002-2023
老黑膏,m000002,嗬杺,Lao Hei Gao,,江西龙源医疗用品有限公司,江西省南昌市青山湖区罗家镇胡坊村898号,,4000041168,,Q/JXLY 048-2025
神农镇痛膏,m000003,燕舞药业,Shennong Zhentonggao,,黄石燕舞药业有限公司,湖北省黄石经济技术开发区王圣大道东108号,,0714-3298603,,YBZ01132008
拇指外翻贴,m000004,天成藏药,MuZhiWaiFanTie,,林奈生物-南阳零一众合药业有限公司,河南省南阳市卧龙区七里园乡杜诗路冯楼艾草产业园19号,,,,Q/NLYZH 503-2025
氨糖软骨素姜黄热敷护膝宝,m000005,同仁堂,,,北京同仁堂兴安保健科技有限责任公司,北京同仁堂兴安保健科技有限责任公司大兴分公司,,4006331058,,Q/TRTDX 0108
利口乐甜味口香糖,m000006,利口乐,Ricola Herbal Drops,Ricola,Ricola Group AG,"Baslestrasse 31, 4242 Laufen, Switzerland",https://www.ricola.com/,+41 61 765 41 21,,
强力枇杷露,m000007,胡庆余堂,QiangLiPiPaLu,,杭州胡庆余堂药业有限公司,浙江杭州,,,,
清咽滴丸,m000008,达仁堂,Qingyan Diwan,,津药达仁堂集团股份有限公司第六中药厂,天津市北辰区青光北,https://www.tj6zy.com.cn,4000929666,国药准字Z10930004,WS3-176(Z-25)-97(Z)-2019
草本咽喉贴,m000009,叶向舍,CaoBeiYanHouTie,,南阳仲古艾业有限公司,南阳市高新区中关村科技产业聚集区纬十路18号,,,,Q/NGZ022-2020
丹七片,m000010,同仁堂,Danqi Pian,,北京同仁堂科技发展股份有限公司制药厂,,,,国药准字Z11020471,
山药薏米莲子粥,m000011,粥之养,,Zhou Zhi Yang,山东杰格郎食品有限公司,山东省临沂市沂水县崔家峪镇兖石路7号,,4000096667,,Q/JGL0001S
