药品ID,成分,ComponentEnglish
m000001,艾叶,
m000001,肉桂,
m000001,生姜,
m000001,丁香,
m000001,荆芥,
m000001,薄荷,
m000001,蒲公英,
m000001,花椒,
m000001,山奈,
m000001,白芷,
m000001,老鹳草,
m000002,艾草,
m000002,党参,
m000002,三七,
m000002,杏仁,
m000002,当归,
m000002,茯苓,
m000002,薄荷,
m000002,冰片,
m000003,三七,
m000003,胆南星,
m000003,白芷,
m000003,狗脊,
m000003,羌活,
m000003,石菖蒲,
m000003,防风,
m000003,升麻,
m000003,红花,
m000003,土鳖虫,
m000003,川芎,
m000003,当归,
m000003,血竭,
m000003,马钱子,
m000003,没药,
m000003,樟脑,
m000003,重楼,
m000003,薄荷脑,
m000003,乳香,
m000003,水杨酸甲酯,
m000003,冰片,
m000003,丁香罗勒油,
m000003,人工麝香,
m000003,颠茄流浸膏,
m000003,熊胆粉,
m000004,艾叶,
m000004,桂枝,
m000004,炒白术,
m000004,炙甘草,
m000004,麻黄,
m000004,细辛,
m000004,薏苡仁,
m000004,防风,
m000004,知母,
m000005,氨基葡萄糖盐酸盐,
m000005,硫酸软骨素钠,
m000005,生姜粉,
m000005,桂枝,
m000005,忍冬藤,
m000005,姜黄,
m000006,白毛茛,Horehound
m000006,伯内特,Burnet
m000006,速生草,Speedwell
m000006,棉花糖植物,Marshmallow Plant
m000006,女士斗篷,Lady's Mantle
m000006,接骨木花,Elderflower
m000006,锦葵,Mallow
m000006,薄荷,Peppermint
m000006,圣人,Sage
m000006,蓍草,Yarrow
m000006,报春花,Cowslip
m000006,芭蕉,Plantain
m000006,百里香,Thyme
m000007,枇杷叶,
m000007,罂粟壳,
m000007,百部,
m000007,白前,
m000007,桑白皮,
m000007,桔梗,
m000007,薄荷脑,
m000008,青黛,
m000008,甘草,
m000008,诃子,HeZi
m000008,薄荷脑,
m000008,冰片,
m000008,人工牛黄,
m000009,艾草,
m000009,干姜,
m000009,三七,
m000009,红花,
m000009,防风,
m000009,透骨草,
m000009,辣椒,
m000009,乳香,
m000009,伸筋草,
m000009,樟脑,
m000009,冰片,
